U,V,W,X,Y,Z
0.3187078115571924,0.5628445472784387,0.6819250302657784,0.4292387900430029,0.3422677836414794,0.7565160019607837
0.8014814768650249,0.8582490393848131,0.6708454372949679,0.8273405959354319,0.7824082207280662,0.5862422765470741
0.5787388124598112,0.21460414511652046,0.6295404491697835,0.3353853959091314,0.4219689244012722,0.7562072846490953
0.9088292102371879,0.5768963390923469,0.8455948943114396,0.7667813406396439,0.8598098278293365,0.5741587122561318
0.32013082382378516,0.7319011599559266,0.31967030492252235,0.43367915052240813,0.20953741868822812,0.7395975590071316
0.8152393444084375,0.643772276119544,0.7314353509604653,0.8744847790143684,0.601643155588835,0.6804239136394656
0.5334866881776302,0.674977156641232,0.5873372651743248,0.19291438514792877,0.7306089785424146,0.6841357617483873
0.9312452419315421,0.6872892296096745,0.770901905009358,0.5226558122679552,0.6868412329794623,0.6371482530561067
0.23129501865479316,0.5631139933779821,0.47959095140934044,0.791140743890412,0.6773048989590401,0.6982979257701218
0.6453278997747391,0.8735838274953432,0.8377804252997771,0.49672563612076,0.634147813389653,0.6150172589804492
0.8688525356149205,0.21786543029112382,0.25366619206263197,0.7907882872106595,0.7575473168185739,0.7527878948380831
0.4303022539699335,0.5497482794871392,0.7112518043236394,0.5584683361549768,0.48271735906390223,0.4923470087270542
0.8971719325773516,0.8353752566095017,0.6298840080218185,0.7835084647691323,0.8523299445094749,0.8472197192654982
0.3372414222862334,0.25578512197407116,0.6739121357274458,0.4785538822000381,0.2501565508631474,0.2287156157447152
0.8262291729689999,0.6785417250098197,0.7557084975099556,0.8381827956329204,0.6563112849771069,0.6329921174848795
0.5319010360023798,0.6140364066442547,0.5171865083297721,0.28818573725105956,0.6666886052746754,0.722655992052924
0.9284352258567165,0.7749688379262891,0.8293435507540746,0.7300485186552156,0.77448355443285,0.5939767957443854
0.24062228350204576,0.3989274346739718,0.3179552886425049,0.5294806283379079,0.46473682572590774,0.7291223108373382
0.6848892391569629,0.8629333513780175,0.7613846559615708,0.877108637688276,0.840027409666582,0.6172445030814325
0.7881578093157294,0.2229842481743777,0.4462975151179952,0.13879635607170931,0.25512130086293816,0.6940577772035607
0.6181317488594956,0.5671610824370839,0.8870138494591091,0.42086707110633476,0.7243485741927723,0.7248682323204593
0.8761863255781562,0.7843924962707495,0.20680949306027813,0.7831380054869459,0.6457517138014303,0.5622912892355684
0.4158163938259519,0.38407990839920303,0.54386332806419,0.589486448275729,0.706885073860077,0.7800548905085657
0.9123950126221083,0.8336850069632676,0.8724685150408323,0.813697024785432,0.6282237995523404,0.4361460012914692
0.299891876134161,0.26436627721408873,0.1614466304076493,0.32609034415109067,0.70942176098536,0.8237694080055712
